date,coin,price_in_usd
4/27/2012,BITCOIN,5.09588734
4/28/2012,BITCOIN,4.970736653
4/29/2012,BITCOIN,4.902606178
4/30/2012,BITCOIN,4.94211681
5/1/2012,BITCOIN,4.987137227
5/2/2012,BITCOIN,5.053437354
5/3/2012,BITCOIN,5.118872979
5/4/2012,BITCOIN,5.085507088
5/5/2012,BITCOIN,5.056639565
5/6/2012,BITCOIN,5.047800773
5/7/2012,BITCOIN,5.067555867
5/8/2012,BITCOIN,5.023466423
5/9/2012,BITCOIN,5.041306236
5/10/2012,BITCOIN,4.92748872
5/11/2012,BITCOIN,4.963709977
5/12/2012,BITCOIN,4.946532235
5/13/2012,BITCOIN,4.944795054
5/14/2012,BITCOIN,5.011435922
5/15/2012,BITCOIN,5.0336404
5/16/2012,BITCOIN,5.087784509
5/17/2012,BITCOIN,5.089661686
5/18/2012,BITCOIN,5.118301483
5/19/2012,BITCOIN,5.112545811
5/20/2012,BITCOIN,5.094200968
5/21/2012,BITCOIN,5.09422131
5/22/2012,BITCOIN,5.089139189
5/23/2012,BITCOIN,5.1288589
5/24/2012,BITCOIN,5.119157759
5/25/2012,BITCOIN,5.137276807
5/26/2012,BITCOIN,5.103978805
5/27/2012,BITCOIN,5.134616135
5/28/2012,BITCOIN,5.136325419
5/29/2012,BITCOIN,5.148470698
5/30/2012,BITCOIN,5.138264569
5/31/2012,BITCOIN,5.181639721
6/1/2012,BITCOIN,5.266943758
6/2/2012,BITCOIN,5.24363906
6/3/2012,BITCOIN,5.212704985
6/4/2012,BITCOIN,5.258765857
6/5/2012,BITCOIN,5.426014295
6/6/2012,BITCOIN,5.446169422
6/7/2012,BITCOIN,5.58716981
6/8/2012,BITCOIN,5.622529102
6/9/2012,BITCOIN,5.557002335
6/10/2012,BITCOIN,5.457893569
6/11/2012,BITCOIN,5.586996982
6/12/2012,BITCOIN,5.727491299
6/13/2012,BITCOIN,5.909301324
6/14/2012,BITCOIN,5.962023182
6/15/2012,BITCOIN,6.523380719
6/16/2012,BITCOIN,6.444158282
6/17/2012,BITCOIN,6.199966488
6/18/2012,BITCOIN,6.310844669
6/19/2012,BITCOIN,6.494826716
6/20/2012,BITCOIN,6.693551056
6/21/2012,BITCOIN,6.672262504
6/22/2012,BITCOIN,6.563761698
6/23/2012,BITCOIN,6.447541689
